代码,名称
000001.SH,上证指数
399001.SZ,深证成指
000300.SH,沪深300
399005.SZ,中小100
399006.SZ,创业板指
000010.SH,上证180
000016.SH,上证50
000009.SH,上证380
000132.SH,上证100
000133.SH,上证150
000012.SH,国债指数
000013.SH,企债指数
000011.SH,基金指数
399002.SZ,深成指R
399106.SZ,深证综指
399004.SZ,深证100R
399007.SZ,深证300
399008.SZ,中小300
399293.SZ,创业大盘
399100.SZ,新 指 数
399550.SZ,央视50
000905.SH,中证500
000903.SH,中证100
000906.SH,中证800
000688.SH,科创50
