ts_code,code,name,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,1K_amount,10K_amount,1M_amount,100M_amount,1B_amount
300676.SZ,300676,华大基因,20200320,74.28,78.58,79.78,69.81,76.85,-2.57,-0.0334,44004969.0,3248817646.32,3248817.6463200003,324881.764632,3248.81764632,32.488176463200006,3.2488176463200005
300676.SZ,300676,华大基因,20200313,76.85,86.62,87.83,73.37,86.42,-9.57,-0.1107,53425339.0,4271887635.06,4271887.63506,427188.76350600005,4271.88763506,42.718876350600006,4.271887635060001
300676.SZ,300676,华大基因,20200306,86.42,89.0,89.08,83.46,82.85,3.57,0.0431,60524949.0,5227832496.2,5227832.4962,522783.24962,5227.832496200001,52.278324962000006,5.2278324962000005
300676.SZ,300676,华大基因,20200228,82.85,82.0,87.5,80.25,80.1,2.75,0.0343,60394823.0,5065382531.17,5065382.53117,506538.25311700004,5065.38253117,50.653825311700004,5.06538253117
300676.SZ,300676,华大基因,20200221,80.1,77.5,82.87,77.0,76.77,3.33,0.0434,49435602.0,3953332293.69,3953332.29369,395333.229369,3953.33229369,39.5333229369,3.95333229369
300676.SZ,300676,华大基因,20200214,76.77,82.4,82.4,76.0,83.68,-6.91,-0.0826,53621504.0,4239685832.37,4239685.83237,423968.583237,4239.68583237,42.3968583237,4.23968583237
300676.SZ,300676,华大基因,20200207,83.68,87.45,93.18,80.86,79.5,4.18,0.0526,134684107.0,11842221849.46,11842221.849459998,1184222.1849459999,11842.221849459998,118.42221849459999,11.84222184946
300676.SZ,300676,华大基因,20200123,79.5,75.76,81.65,73.31,69.96,9.54,0.1364,72206140.0,5613189378.95,5613189.37895,561318.937895,5613.18937895,56.1318937895,5.61318937895
300676.SZ,300676,华大基因,20200117,69.96,66.87,70.78,65.69,67.0,2.96,0.0442,27539921.0,1897599876.04,1897599.87604,189759.987604,1897.59987604,18.9759987604,1.89759987604
300676.SZ,300676,华大基因,20200110,67.0,67.78,68.51,65.56,68.7,-1.7,-0.0247,25422051.0,1702339563.77,1702339.56377,170233.956377,1702.33956377,17.023395637700002,1.7023395637700003
300676.SZ,300676,华大基因,20200103,68.7,65.5,70.37,65.3,65.56,3.14,0.0479,23932765.0,1643428615.27,1643428.61527,164342.861527,1643.42861527,16.4342861527,1.64342861527
300676.SZ,300676,华大基因,20191227,65.56,65.28,67.19,64.65,65.68,-0.12,-0.0018,22148517.0,1453340875.95,1453340.87595,145334.087595,1453.3408759499998,14.533408759499999,1.45334087595
300676.SZ,300676,华大基因,20191220,65.68,60.59,68.15,60.21,60.45,5.23,0.0865,34312364.0,2204560642.51,2204560.64251,220456.064251,2204.56064251,22.0456064251,2.20456064251
300676.SZ,300676,华大基因,20191213,60.45,60.44,61.58,59.62,60.2,0.25,0.0042,13484925.0,813708310.2,813708.3102000001,81370.83102000001,813.7083102000001,8.137083102000002,0.8137083102000002
300676.SZ,300676,华大基因,20191206,60.2,59.19,60.36,58.01,59.29,0.91,0.0153,8783133.0,521081201.03,521081.20103,52108.120103,521.08120103,5.2108120103,0.52108120103
300676.SZ,300676,华大基因,20191129,59.29,60.89,61.98,58.8,61.37,-2.08,-0.0339,15093619.0,913716633.52,913716.63352,91371.663352,913.7166335200001,9.1371663352,0.91371663352
300676.SZ,300676,华大基因,20191122,61.37,59.3,63.2,59.01,59.66,1.71,0.0287,18964855.0,1169057652.07,1169057.6520699998,116905.76520699999,1169.05765207,11.690576520699999,1.1690576520699998
300676.SZ,300676,华大基因,20191115,59.66,60.89,61.54,58.01,61.12,-1.46,-0.0239,14949801.0,896786624.91,896786.62491,89678.662491,896.78662491,8.9678662491,0.89678662491
300676.SZ,300676,华大基因,20191108,61.12,58.46,61.86,58.4,58.36,2.76,0.0473,17905448.0,1086688261.77,1086688.26177,108668.826177,1086.68826177,10.8668826177,1.08668826177
300676.SZ,300676,华大基因,20191101,58.36,61.08,62.79,56.99,58.85,-0.49,-0.0083,23553175.0,1416589230.88,1416589.2308800002,141658.923088,1416.58923088,14.1658923088,1.41658923088
300676.SZ,300676,华大基因,20191025,58.85,59.9,60.28,58.18,59.8,-0.95,-0.0159,10668894.0,630686064.64,630686.06464,63068.606464,630.6860646399999,6.3068606464,0.63068606464
300676.SZ,300676,华大基因,20191018,59.8,66.03,67.64,59.01,65.1,-5.3,-0.0814,31311560.0,1927423998.66,1927423.99866,192742.399866,1927.4239986599998,19.274239986599998,1.9274239986599997
300676.SZ,300676,华大基因,20191011,65.1,64.2,65.84,62.88,63.98,1.12,0.0175,11057315.0,716995394.18,716995.39418,71699.539418,716.99539418,7.169953941799999,0.7169953941799999
300676.SZ,300676,华大基因,20190930,63.98,64.58,64.75,63.59,64.35,-0.37,-0.0057,2811531.0,180475581.06,180475.58106,18047.558106,180.47558106,1.8047558106,0.18047558106
300676.SZ,300676,华大基因,20190927,64.35,69.5,71.34,64.32,69.8,-5.45,-0.0781,22267426.0,1503803544.63,1503803.5446300001,150380.35446300003,1503.8035446300003,15.038035446300002,1.5038035446300002
300676.SZ,300676,华大基因,20190920,69.8,74.33,75.11,69.51,73.2,-3.4,-0.0464,20956864.0,1494344032.15,1494344.03215,149434.403215,1494.34403215,14.943440321499999,1.49434403215
300676.SZ,300676,华大基因,20190912,73.2,73.5,74.45,71.6,73.32,-0.12,-0.0016,20849206.0,1519998801.8,1519998.8018,151999.88018,1519.9988018000001,15.199988018,1.5199988018000001
300676.SZ,300676,华大基因,20190906,73.32,62.2,73.73,62.2,62.02,11.3,0.1822,46416349.0,3245847490.77,3245847.49077,324584.749077,3245.84749077,32.4584749077,3.24584749077
300676.SZ,300676,华大基因,20190830,62.02,61.11,64.46,60.97,62.29,-0.27,-0.0043,19182906.0,1203167593.55,1203167.5935499999,120316.75935499999,1203.1675935499998,12.031675935499997,1.2031675935499997
300676.SZ,300676,华大基因,20190823,62.29,61.61,63.52,60.69,58.58,3.71,0.0633,23944472.0,1495691170.36,1495691.1703599999,149569.11703599998,1495.69117036,14.9569117036,1.49569117036
300676.SZ,300676,华大基因,20190816,58.58,56.69,59.5,56.0,56.11,2.47,0.044,12175685.0,704275520.94,704275.5209400001,70427.55209400001,704.2755209400001,7.042755209400001,0.7042755209400001
300676.SZ,300676,华大基因,20190809,56.11,61.22,62.08,55.69,61.7,-5.59,-0.0906,14644935.0,842175791.52,842175.79152,84217.57915199999,842.17579152,8.421757915199999,0.8421757915199999
300676.SZ,300676,华大基因,20190802,61.7,63.0,64.3,60.49,63.0,-1.3,-0.0206,13084799.0,819887391.45,819887.39145,81988.739145,819.88739145,8.1988739145,0.81988739145
300676.SZ,300676,华大基因,20190726,63.0,63.2,63.8,59.8,63.01,-0.01,-0.0002,16819391.0,1040372724.71,1040372.72471,104037.272471,1040.37272471,10.4037272471,1.04037272471
300676.SZ,300676,华大基因,20190719,63.01,62.48,65.02,59.88,62.69,0.32,0.0051,19386862.0,1222631320.37,1222631.3203699999,122263.13203699999,1222.63132037,12.226313203699998,1.2226313203699999
300676.SZ,300676,华大基因,20190712,62.69,61.26,63.86,59.59,61.65,1.04,0.0169,14769687.0,909542982.21,909542.98221,90954.298221,909.54298221,9.0954298221,0.90954298221
300676.SZ,300676,华大基因,20190705,61.65,58.37,63.69,58.2,57.04,4.61,0.0808,20308426.0,1239909421.51,1239909.42151,123990.942151,1239.90942151,12.3990942151,1.23990942151
300676.SZ,300676,华大基因,20190628,57.04,59.41,59.55,56.5,59.55,-2.51,-0.0421,11743505.0,679078914.67,679078.91467,67907.891467,679.0789146699999,6.790789146699999,0.6790789146699999
300676.SZ,300676,华大基因,20190621,59.55,54.5,59.73,54.47,55.06,4.49,0.0815,12197356.0,702220077.52,702220.0775199999,70222.00775199999,702.2200775199999,7.022200775199999,0.7022200775199999
300676.SZ,300676,华大基因,20190614,55.06,54.82,57.85,54.6,54.8,0.26,0.0047,9790271.0,552090981.4,552090.9813999999,55209.098139999995,552.0909813999999,5.5209098139999995,0.5520909813999999
300676.SZ,300676,华大基因,20190606,54.8,60.5,60.68,54.32,60.4,-5.6,-0.0927,8475350.0,489132022.92,489132.02292,48913.202292,489.13202292,4.8913202292,0.48913202291999996
300676.SZ,300676,华大基因,20190531,60.4,59.63,62.1,59.54,59.52,0.88,0.0148,8977796.0,547221917.71,547221.9177100001,54722.191771000005,547.2219177100001,5.4722191771,0.5472219177100001
300676.SZ,300676,华大基因,20190524,59.52,60.0,63.59,59.18,60.2,-0.68,-0.0113,11343587.0,692185715.89,692185.71589,69218.571589,692.18571589,6.9218571589,0.69218571589
300676.SZ,300676,华大基因,20190517,60.2,63.39,66.42,59.88,62.77,-2.57,-0.0409,14746555.0,935713242.94,935713.24294,93571.324294,935.7132429400001,9.357132429400002,0.9357132429400001
300676.SZ,300676,华大基因,20190510,62.77,64.79,64.79,59.09,66.98,-4.21,-0.0629,15894894.0,980242082.15,980242.08215,98024.208215,980.2420821500001,9.8024208215,0.98024208215
300676.SZ,300676,华大基因,20190430,66.98,66.55,67.8,64.72,66.55,0.43,0.0065,5627323.0,372796856.22,372796.85622,37279.685622000005,372.79685622000005,3.7279685622000005,0.37279685622000003
