ts_code,code,name,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,1K_amount,10K_amount,1M_amount,100M_amount,1B_amount
002925.SZ,002925,盈趣科技,20200320,49.26,56.81,56.98,47.8,56.21,-6.95,-0.1236,39647898.0,1998894347.52,1998894.34752,199889.434752,1998.89434752,19.988943475200003,1.9988943475200003
002925.SZ,002925,盈趣科技,20200313,56.21,67.27,69.08,55.0,69.91,-13.7,-0.196,27327421.0,1677871848.81,1677871.8488099999,167787.184881,1677.8718488099998,16.778718488099997,1.6778718488099997
002925.SZ,002925,盈趣科技,20200306,69.91,72.89,74.51,65.03,69.64,0.27,0.0039,24506654.0,1713975303.16,1713975.3031600001,171397.53031600002,1713.9753031600003,17.1397530316,1.7139753031600002
002925.SZ,002925,盈趣科技,20200228,69.64,67.8,71.1,64.18,68.85,0.79,0.0115,26858113.0,1832710291.99,1832710.29199,183271.029199,1832.71029199,18.3271029199,1.83271029199
002925.SZ,002925,盈趣科技,20200221,68.85,57.69,69.96,57.69,57.6,11.25,0.1953,32492639.0,2091588491.92,2091588.4919200002,209158.84919200002,2091.5884919200003,20.915884919200003,2.0915884919200005
002925.SZ,002925,盈趣科技,20200214,57.6,58.3,60.66,56.91,58.64,-1.04,-0.0177,22001213.0,1283413344.06,1283413.34406,128341.33440600001,1283.41334406,12.8341334406,1.28341334406
002925.SZ,002925,盈趣科技,20200207,58.64,49.55,59.3,49.55,55.05,3.59,0.0652,28679500.0,1558354152.85,1558354.15285,155835.415285,1558.35415285,15.5835415285,1.55835415285
002925.SZ,002925,盈趣科技,20200123,55.05,56.9,58.2,54.38,56.89,-1.84,-0.0323,19346074.0,1088429637.33,1088429.6373299998,108842.96373299998,1088.4296373299999,10.884296373299998,1.0884296373299998
002925.SZ,002925,盈趣科技,20200117,56.89,54.0,58.2,53.35,54.05,2.84,0.0525,27858463.0,1543084612.18,1543084.6121800002,154308.461218,1543.08461218,15.4308461218,1.54308461218
002925.SZ,002925,盈趣科技,20200110,54.05,47.07,55.5,46.69,46.84,7.21,0.1539,41332790.0,2148347495.12,2148347.49512,214834.749512,2148.34749512,21.4834749512,2.1483474951200003
002925.SZ,002925,盈趣科技,20200103,46.84,42.28,47.38,41.68,42.49,4.35,0.1024,17822616.0,798758939.63,798758.93963,79875.89396300001,798.7589396300001,7.987589396300001,0.7987589396300001
002925.SZ,002925,盈趣科技,20191227,42.49,44.0,45.13,42.38,44.2,-1.71,-0.0387,13752433.0,602658606.14,602658.6061399999,60265.86061399999,602.6586061399998,6.026586061399999,0.6026586061399999
002925.SZ,002925,盈趣科技,20191220,44.2,43.49,45.78,43.46,43.32,0.88,0.0203,21886708.0,975719391.34,975719.3913400001,97571.93913400001,975.7193913400001,9.757193913400002,0.9757193913400002
002925.SZ,002925,盈趣科技,20191213,43.32,42.97,43.8,41.35,42.79,0.53,0.0124,21338649.0,915007026.72,915007.0267200001,91500.70267200001,915.0070267200001,9.1500702672,0.91500702672
002925.SZ,002925,盈趣科技,20191206,42.79,42.88,43.45,40.35,42.88,-0.09,-0.0021,18497510.0,770714600.91,770714.6009099999,77071.46009099999,770.7146009099998,7.707146009099998,0.7707146009099998
002925.SZ,002925,盈趣科技,20191129,42.88,41.97,44.51,39.5,41.0,1.88,0.0459,21110288.0,897191253.11,897191.25311,89719.12531100001,897.1912531100002,8.971912531100001,0.8971912531100001
002925.SZ,002925,盈趣科技,20191122,41.0,40.5,42.66,39.51,40.54,0.46,0.0113,18416665.0,756376035.44,756376.03544,75637.603544,756.37603544,7.5637603544,0.75637603544
002925.SZ,002925,盈趣科技,20191115,40.54,38.35,40.8,36.82,38.39,2.15,0.056,17511925.0,677314776.99,677314.77699,67731.47769900001,677.3147769900002,6.773147769900001,0.6773147769900001
002925.SZ,002925,盈趣科技,20191108,38.39,39.0,40.96,38.01,39.91,-1.52,-0.0381,13597183.0,537202297.76,537202.29776,53720.229776,537.20229776,5.3720229775999995,0.53720229776
002925.SZ,002925,盈趣科技,20191101,39.91,40.23,41.5,39.0,40.45,-0.54,-0.0133,10646232.0,427573048.08,427573.04808,42757.304808,427.57304808000004,4.2757304808,0.42757304808
002925.SZ,002925,盈趣科技,20191025,40.45,42.98,43.58,36.27,42.22,-1.77,-0.0419,14858470.0,611321236.74,611321.23674,61132.123673999995,611.3212367399999,6.113212367399999,0.6113212367399999
002925.SZ,002925,盈趣科技,20191018,42.22,43.57,44.7,42.2,43.2,-0.98,-0.0227,15597275.0,683085459.45,683085.4594500001,68308.545945,683.08545945,6.8308545945,0.68308545945
002925.SZ,002925,盈趣科技,20191011,43.2,40.6,43.69,39.18,40.69,2.51,0.0617,12392110.0,512502818.54,512502.81854,51250.281854,512.50281854,5.125028185400001,0.51250281854
