ts_code,code,name,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,1K_amount,10K_amount,1M_amount,100M_amount,1B_amount
300721.SZ,300721,怡达股份,20200320,23.36,19.99,25.52,19.01,19.89,3.47,0.1745,57171262.0,1298125352.87,1298125.3528699998,129812.53528699998,1298.1253528699997,12.981253528699996,1.2981253528699996
300721.SZ,300721,怡达股份,20200313,19.89,20.0,20.89,18.44,20.27,-0.38,-0.0187,13228894.0,263755957.94,263755.95794,26375.595794,263.75595794000003,2.6375595794000004,0.26375595794000006
300721.SZ,300721,怡达股份,20200306,20.27,19.1,20.51,19.07,18.84,1.43,0.0759,13646062.0,273037586.9,273037.5869,27303.75869,273.0375869,2.730375869,0.2730375869
300721.SZ,300721,怡达股份,20200228,18.84,21.9,23.43,18.79,22.22,-3.38,-0.1521,24571989.0,530479930.6,530479.9306000001,53047.99306000001,530.4799306000001,5.304799306000001,0.5304799306000001
300721.SZ,300721,怡达股份,20200221,22.22,21.61,23.53,20.75,21.12,1.1,0.0521,31596358.0,697653275.58,697653.27558,69765.327558,697.65327558,6.9765327558,0.69765327558
300721.SZ,300721,怡达股份,20200214,21.12,19.84,21.92,19.5,19.81,1.31,0.0661,23135994.0,472907266.1,472907.2661,47290.72661,472.90726609999996,4.729072661,0.4729072661
300721.SZ,300721,怡达股份,20200207,19.81,19.06,20.3,17.58,21.18,-1.37,-0.0647,18471089.0,346850701.01,346850.70101,34685.070101000005,346.85070101,3.4685070101,0.34685070101000004
300721.SZ,300721,怡达股份,20200123,21.18,19.81,22.61,19.45,20.19,0.99,0.049,25788852.0,538185974.04,538185.97404,53818.597404,538.18597404,5.3818597404,0.53818597404
300721.SZ,300721,怡达股份,20200117,20.19,19.12,21.64,18.7,19.12,1.07,0.056,22528035.0,452367254.5,452367.2545,45236.72545,452.3672545,4.523672545,0.45236725450000004
300721.SZ,300721,怡达股份,20200110,19.12,19.0,19.64,18.81,19.26,-0.14,-0.0073,9895690.0,190224461.68,190224.46168,19022.446168000002,190.22446168000002,1.9022446168000002,0.19022446168
300721.SZ,300721,怡达股份,20200103,19.26,19.1,19.42,18.51,19.3,-0.04,-0.0021,9109206.0,173186030.11,173186.03011000002,17318.603011000003,173.18603011000002,1.7318603011000002,0.17318603011000003
300721.SZ,300721,怡达股份,20191227,19.3,18.67,20.54,18.14,18.77,0.53,0.0282,21686567.0,420407570.57,420407.57057,42040.757056999995,420.40757056999996,4.204075705699999,0.42040757056999994
300721.SZ,300721,怡达股份,20191220,18.77,18.37,18.89,18.35,18.31,0.46,0.0251,7359192.0,137453270.9,137453.2709,13745.32709,137.4532709,1.3745327090000001,0.1374532709
300721.SZ,300721,怡达股份,20191213,18.31,18.06,18.45,18.06,18.12,0.19,0.0105,5086134.0,92780586.84,92780.58684,9278.058684,92.78058684,0.9278058684,0.09278058684
300721.SZ,300721,怡达股份,20191206,18.12,17.56,18.29,17.28,17.51,0.61,0.0348,5492702.0,97799500.54,97799.50054000001,9779.950054,97.79950054000001,0.9779950054000001,0.09779950054
300721.SZ,300721,怡达股份,20191129,17.51,17.41,18.02,17.15,17.3,0.21,0.0121,4482226.0,78726667.68,78726.66768000001,7872.666768000001,78.72666768,0.7872666768000001,0.07872666768
300721.SZ,300721,怡达股份,20191122,17.3,17.05,17.68,17.0,17.05,0.25,0.0147,4307650.0,74916435.75,74916.43575,7491.643575,74.91643575,0.7491643575000001,0.07491643575000001
300721.SZ,300721,怡达股份,20191115,17.05,17.71,17.74,17.0,17.83,-0.78,-0.0437,4381175.0,75755292.5,75755.2925,7575.52925,75.7552925,0.7575529249999999,0.07575529249999999
300721.SZ,300721,怡达股份,20191108,17.83,18.02,18.15,17.6,18.01,-0.18,-0.01,5139375.0,92029559.5,92029.5595,9202.95595,92.02955949999999,0.9202955949999999,0.0920295595
300721.SZ,300721,怡达股份,20191101,18.01,18.31,18.79,17.67,18.4,-0.39,-0.0212,7906909.0,144313309.51,144313.30951,14431.330951,144.31330951,1.4431330951,0.14431330951000002
300721.SZ,300721,怡达股份,20191025,18.4,18.39,18.74,18.17,18.17,0.23,0.0127,9046869.0,166878841.02,166878.84102000002,16687.884102000004,166.87884102000004,1.6687884102000003,0.16687884102000003
300721.SZ,300721,怡达股份,20191018,18.17,18.79,19.11,18.04,18.67,-0.5,-0.0268,11315664.0,211244870.45,211244.87045,21124.487044999998,211.24487044999998,2.1124487044999998,0.21124487044999998
300721.SZ,300721,怡达股份,20191011,18.67,18.99,19.12,18.15,18.7,-0.03,-0.0016,17012424.0,317845116.21,317845.11621,31784.511621,317.84511621,3.1784511621,0.31784511621
300721.SZ,300721,怡达股份,20190930,18.7,19.31,19.52,18.68,19.33,-0.63,-0.0326,6394971.0,121092273.94,121092.27394,12109.227394,121.09227394,1.2109227394,0.12109227394
300721.SZ,300721,怡达股份,20190927,19.33,19.75,23.98,19.02,19.76,-0.43,-0.0218,42321589.0,924872696.82,924872.6968200001,92487.26968200001,924.8726968200001,9.248726968200002,0.9248726968200002
300721.SZ,300721,怡达股份,20190920,19.76,19.78,20.94,19.08,19.73,0.03,0.0015,12417575.0,245161125.26,245161.12526,24516.112526,245.16112526,2.4516112526000002,0.24516112526000003
300721.SZ,300721,怡达股份,20190912,19.73,19.4,19.78,19.19,19.3,0.43,0.0223,8802228.0,171955228.95,171955.22895,17195.522895,171.95522895,1.7195522895,0.17195522894999998
300721.SZ,300721,怡达股份,20190906,19.3,18.21,19.35,18.2,18.26,1.04,0.057,6469454.0,122485086.96,122485.08696,12248.508696,122.48508696,1.2248508696,0.12248508696
300721.SZ,300721,怡达股份,20190830,18.26,18.3,19.0,18.1,18.9,-0.64,-0.0339,5045650.0,94307953.5,94307.9535,9430.79535,94.3079535,0.943079535,0.0943079535
300721.SZ,300721,怡达股份,20190823,18.9,19.02,19.97,18.77,18.92,-0.02,-0.0011,8673939.0,167920359.88,167920.35988,16792.035988,167.92035988,1.6792035988,0.16792035988
300721.SZ,300721,怡达股份,20190816,18.92,18.52,19.46,18.1,18.48,0.44,0.0238,6915115.0,131463295.96,131463.29596,13146.329596,131.46329595999998,1.3146329596,0.13146329596
300721.SZ,300721,怡达股份,20190809,18.48,20.8,21.3,18.36,20.99,-2.51,-0.1196,12776600.0,249827238.04,249827.23804,24982.723804,249.82723804,2.4982723804,0.24982723804
300721.SZ,300721,怡达股份,20190802,20.99,19.94,21.46,19.6,19.88,1.11,0.0558,20492757.0,418324836.37,418324.83637000003,41832.483637000005,418.32483637000007,4.183248363700001,0.41832483637000006
300721.SZ,300721,怡达股份,20190726,19.88,18.63,20.2,17.63,18.81,1.07,0.0569,16558788.0,321989440.13,321989.44013,32198.944013,321.98944013,3.2198944013,0.32198944012999997
300721.SZ,300721,怡达股份,20190719,18.81,19.04,19.8,18.28,19.94,-1.13,-0.0567,13078720.0,248706005.19,248706.00519,24870.600519,248.70600518999998,2.4870600519,0.24870600519
300721.SZ,300721,怡达股份,20190712,19.94,19.56,21.5,18.68,19.78,0.16,0.0081,16708628.0,334225554.0,334225.554,33422.5554,334.225554,3.34225554,0.334225554
300721.SZ,300721,怡达股份,20190705,19.78,18.64,20.17,18.42,18.37,1.41,0.0768,9598532.0,184134342.22,184134.34222,18413.434222,184.13434222,1.8413434222,0.18413434222
300721.SZ,300721,怡达股份,20190628,18.37,19.9,19.9,18.22,19.94,-1.57,-0.0787,9496179.0,179175014.96,179175.01496,17917.501496,179.17501496,1.7917501496,0.17917501496
300721.SZ,300721,怡达股份,20190621,19.94,17.74,19.94,17.71,17.78,2.16,0.1215,5551126.0,104627104.1,104627.1041,10462.71041,104.6271041,1.046271041,0.1046271041
300721.SZ,300721,怡达股份,20190614,17.78,17.64,18.51,17.51,17.54,0.24,0.0137,3536205.0,64022656.11,64022.656109999996,6402.265611,64.02265611,0.6402265611,0.06402265610999999
300721.SZ,300721,怡达股份,20190606,17.54,18.58,18.74,17.5,18.6,-1.06,-0.057,3284674.0,59045951.85,59045.951850000005,5904.595185,59.04595185,0.5904595185,0.05904595185
300721.SZ,300721,怡达股份,20190531,18.6,17.95,18.98,17.81,17.8,0.8,0.0449,3775498.0,70071606.76,70071.60676000001,7007.160676000001,70.07160676000001,0.7007160676,0.07007160676
300721.SZ,300721,怡达股份,20190524,17.8,18.85,19.03,17.68,18.7,-0.9,-0.0481,3659559.0,67322575.09,67322.57509,6732.257509,67.32257509,0.6732257509,0.06732257509
300721.SZ,300721,怡达股份,20190517,18.85,19.11,20.69,18.77,19.14,-0.29,-0.0152,5154324.0,100664833.91,100664.83391,10066.483391,100.66483391,1.0066483391,0.10066483391
300721.SZ,300721,怡达股份,20190510,19.14,19.77,19.77,18.19,19.99,-0.85,-0.0425,4866109.0,91893401.05,91893.40105,9189.340105,91.89340105,0.9189340104999999,0.09189340104999999
300721.SZ,300721,怡达股份,20190430,19.99,19.88,20.16,19.42,19.8,0.19,0.0096,1563669.0,30968841.28,30968.84128,3096.884128,30.968841280000003,0.30968841280000003,0.030968841280000003
300721.SZ,300721,怡达股份,20190426,19.8,22.38,22.38,19.8,22.06,-2.26,-0.1024,5232130.0,110315396.97,110315.39697,11031.539697,110.31539697,1.1031539697,0.11031539697
300721.SZ,300721,怡达股份,20190419,22.06,22.29,22.65,21.53,22.05,0.01,0.0005,6876673.0,152098212.32,152098.21232,15209.821231999998,152.09821232,1.5209821231999998,0.15209821231999998
300721.SZ,300721,怡达股份,20190412,22.05,24.47,25.58,21.65,23.95,-1.9,-0.0793,12976780.0,308542565.85,308542.56585,30854.256585000003,308.54256585,3.0854256585,0.30854256585
300721.SZ,300721,怡达股份,20190404,23.95,23.13,25.65,22.86,23.09,0.86,0.0372,14826385.0,356073428.83,356073.42883,35607.342883,356.07342882999995,3.5607342882999995,0.3560734288299999
300721.SZ,300721,怡达股份,20190329,23.09,21.9,23.25,21.2,22.35,0.74,0.0331,15836837.0,350961992.46,350961.99246,35096.199246,350.96199246,3.5096199246,0.35096199246
300721.SZ,300721,怡达股份,20190322,22.35,20.49,24.18,20.49,20.61,1.74,0.0844,25328660.0,577506766.62,577506.76662,57750.676662,577.50676662,5.7750676662,0.57750676662
300721.SZ,300721,怡达股份,20190315,20.61,20.04,21.75,19.9,20.15,0.46,0.0228,12384058.0,259032186.95,259032.18694999997,25903.218694999996,259.03218695,2.5903218695,0.25903218694999997
300721.SZ,300721,怡达股份,20190308,20.15,20.38,21.54,20.01,20.01,0.14,0.007,14866989.0,308424931.57,308424.93157,30842.493157,308.42493157,3.0842493157,0.30842493157
300721.SZ,300721,怡达股份,20190301,20.01,19.38,20.32,19.2,19.32,0.69,0.0357,10125317.0,201151394.66,201151.39466,20115.139466,201.15139466,2.0115139466,0.20115139466
300721.SZ,300721,怡达股份,20190222,19.32,18.11,19.49,18.11,18.11,1.21,0.0668,8191525.0,155622750.0,155622.75,15562.275,155.62275,1.5562274999999999,0.15562274999999998
300721.SZ,300721,怡达股份,20190215,18.11,17.3,18.36,17.11,17.18,0.93,0.0541,6120423.0,109210184.08,109210.18407999999,10921.018408,109.21018408,1.0921018408,0.10921018408000001
300721.SZ,300721,怡达股份,20190201,17.18,18.55,18.55,16.45,18.37,-1.19,-0.0648,4257155.0,74397422.36,74397.42236,7439.742236,74.39742236000001,0.7439742236000001,0.07439742236
300721.SZ,300721,怡达股份,20190125,18.37,19.47,19.88,18.35,19.42,-1.05,-0.0541,6104641.0,117768624.45,117768.62445,11776.862445,117.76862445,1.1776862445,0.11776862445
300721.SZ,300721,怡达股份,20190118,19.42,19.96,19.96,19.15,19.96,-0.54,-0.0271,3736287.0,72919096.14,72919.09614,7291.909613999999,72.91909614,0.7291909614,0.07291909614
300721.SZ,300721,怡达股份,20190111,19.96,20.12,20.38,19.38,20.11,-0.15,-0.0075,5201990.0,104021808.65,104021.80865,10402.180865,104.02180865,1.0402180865,0.10402180864999999
300721.SZ,300721,怡达股份,20190104,20.11,20.02,20.45,19.01,20.08,0.03,0.0015,2508445.0,49911279.3,49911.279299999995,4991.12793,49.9112793,0.49911279299999994,0.04991127929999999
300721.SZ,300721,怡达股份,20181228,20.08,20.68,21.35,20.07,20.7,-0.62,-0.03,6292895.0,130987489.6,130987.4896,13098.74896,130.9874896,1.309874896,0.1309874896
300721.SZ,300721,怡达股份,20181221,20.7,20.53,21.16,20.43,20.78,-0.08,-0.0038,5225475.0,109038028.75,109038.02875,10903.802875,109.03802875,1.0903802875,0.10903802874999999
300721.SZ,300721,怡达股份,20181214,20.78,20.35,21.37,20.02,20.59,0.19,0.0092,5175075.0,106717695.25,106717.69525,10671.769525,106.71769524999999,1.0671769524999999,0.10671769525
300721.SZ,300721,怡达股份,20181207,20.59,21.19,21.59,20.5,20.8,-0.21,-0.0101,5647804.0,119041501.98,119041.50198,11904.150198,119.04150197999999,1.1904150197999999,0.11904150197999999
300721.SZ,300721,怡达股份,20181130,20.8,21.61,21.79,19.9,21.75,-0.95,-0.0437,6359635.0,134005254.0,134005.254,13400.525399999999,134.00525399999998,1.3400525399999998,0.134005254
300721.SZ,300721,怡达股份,20181123,21.75,24.0,24.05,21.75,24.5,-2.75,-0.1122,12170110.0,283989000.74,283989.00074,28398.900073999997,283.98900074,2.8398900073999997,0.28398900074
300721.SZ,300721,怡达股份,20181116,24.5,23.2,25.9,22.9,23.62,0.88,0.0373,21883752.0,531295281.75,531295.28175,53129.528175,531.29528175,5.312952817499999,0.53129528175
300721.SZ,300721,怡达股份,20181109,23.62,22.75,24.3,21.24,22.73,0.89,0.0392,14274174.0,324523017.33,324523.01733,32452.301733,324.52301733,3.2452301733,0.32452301733
300721.SZ,300721,怡达股份,20181102,22.73,22.02,22.84,21.25,22.02,0.71,0.0322,7767639.0,172521971.94,172521.97194,17252.197194,172.52197194000001,1.7252197194,0.17252197194000002
300721.SZ,300721,怡达股份,20181026,22.02,22.99,23.47,20.8,22.4,-0.38,-0.017,9933312.0,221778113.92,221778.11391999997,22177.811391999996,221.77811391999995,2.2177811391999995,0.22177811391999996
300721.SZ,300721,怡达股份,20181019,22.4,25.0,26.48,20.72,25.73,-3.33,-0.1294,15167763.0,374743268.54,374743.26854,37474.326854,374.74326854,3.7474326853999997,0.37474326853999995
300721.SZ,300721,怡达股份,20181012,25.73,23.5,26.21,22.96,23.86,1.87,0.0784,16791894.0,418640385.84,418640.38584,41864.038584,418.64038584,4.1864038584,0.41864038584
300721.SZ,300721,怡达股份,20180928,23.86,22.77,24.48,22.11,22.77,1.09,0.0479,6704927.0,155800900.71,155800.90071000002,15580.090071000002,155.80090071000004,1.5580090071000003,0.15580090071000002
300721.SZ,300721,怡达股份,20180921,22.77,23.0,23.18,21.95,23.03,-0.26,-0.0113,4737001.0,106509339.41,106509.33941,10650.933941,106.50933941,1.0650933941,0.10650933941
300721.SZ,300721,怡达股份,20180914,23.03,24.6,24.62,23.0,24.66,-1.63,-0.0661,4482394.0,106387613.68,106387.61368000001,10638.761368000001,106.38761368000002,1.0638761368000003,0.10638761368000002
300721.SZ,300721,怡达股份,20180907,24.66,24.55,24.9,23.73,24.49,0.17,0.0069,4422437.0,107798341.58,107798.34158,10779.834158,107.79834158,1.0779834158,0.10779834157999998
300721.SZ,300721,怡达股份,20180831,24.49,25.92,27.21,24.49,25.93,-1.44,-0.0555,6307386.0,164488332.72,164488.33272,16448.833272,164.48833272,1.6448833271999999,0.16448833272
300721.SZ,300721,怡达股份,20180824,25.93,26.6,27.2,25.55,26.61,-0.68,-0.0256,5576791.0,147228153.36,147228.15336000003,14722.815336000003,147.22815336000002,1.4722815336000001,0.14722815336
300721.SZ,300721,怡达股份,20180817,26.61,27.75,28.8,26.42,28.38,-1.77,-0.0624,6081585.0,167966529.85,167966.52985,16796.652985,167.96652985,1.6796652985,0.16796652985
300721.SZ,300721,怡达股份,20180810,28.38,26.6,28.58,26.38,26.84,1.54,0.0574,9457060.0,262339611.25,262339.61125,26233.961125,262.33961125,2.6233961125,0.26233961125
300721.SZ,300721,怡达股份,20180803,26.84,30.68,30.7,26.62,30.63,-3.79,-0.1237,7129820.0,203331635.2,203331.6352,20333.16352,203.3316352,2.033316352,0.2033316352
300721.SZ,300721,怡达股份,20180727,30.63,31.59,32.34,30.07,31.49,-0.86,-0.0273,9260162.0,288541908.36,288541.90836,28854.190836,288.54190836000004,2.8854190836000004,0.28854190836000004
300721.SZ,300721,怡达股份,20180720,31.49,35.0,35.51,30.7,37.67,-6.18,-0.1641,17086984.0,567688181.1,567688.1811,56768.81811000001,567.6881811000001,5.676881811,0.5676881811000001
300721.SZ,300721,怡达股份,20180713,37.67,37.97,43.7,37.59,36.8,0.87,0.0236,27684556.0,1098846021.07,1098846.02107,109884.602107,1098.84602107,10.9884602107,1.09884602107
300721.SZ,300721,怡达股份,20180706,36.8,39.95,41.48,36.0,40.33,-3.53,-0.0875,25949774.0,1005632399.94,1005632.39994,100563.239994,1005.63239994,10.0563239994,1.00563239994
300721.SZ,300721,怡达股份,20180629,40.33,37.0,42.28,36.52,36.65,3.68,0.1004,30703015.0,1219855408.69,1219855.40869,121985.54086899999,1219.8554086899999,12.198554086899998,1.2198554086899998
300721.SZ,300721,怡达股份,20180622,36.65,37.03,41.09,34.4,37.35,-0.7,-0.0187,26530888.0,1015393167.09,1015393.16709,101539.316709,1015.39316709,10.1539316709,1.01539316709
300721.SZ,300721,怡达股份,20180615,37.35,38.0,39.73,34.68,38.84,-1.49,-0.0384,22979865.0,869048401.06,869048.40106,86904.84010599999,869.0484010599998,8.690484010599999,0.8690484010599999
300721.SZ,300721,怡达股份,20180608,38.84,39.0,42.01,36.68,39.56,-0.72,-0.0182,34723653.0,1361634119.09,1361634.11909,136163.411909,1361.6341190899998,13.616341190899998,1.3616341190899999
300721.SZ,300721,怡达股份,20180601,39.56,34.62,39.56,32.47,35.52,4.04,0.1137,33192129.0,1213309824.12,1213309.8241199998,121330.98241199998,1213.3098241199998,12.133098241199997,1.2133098241199998
300721.SZ,300721,怡达股份,20180525,35.72,34.01,37.8,33.72,34.55,1.17,0.0339,27133507.0,975760678.41,975760.6784099999,97576.067841,975.76067841,9.7576067841,0.97576067841
