ts_code,code,name,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,1K_amount,10K_amount,1M_amount,100M_amount,1B_amount
688090.SH,688090,瑞松科技,20200320,59.13,64.9,65.17,55.41,64.37,-5.24,-0.0814,5678151.0,339108528.0,339108.528,33910.8528,339.108528,3.39108528,0.339108528
688090.SH,688090,瑞松科技,20200313,64.37,69.75,71.48,62.0,71.63,-7.26,-0.1014,6477061.0,437473309.0,437473.309,43747.3309,437.47330900000003,4.37473309,0.43747330900000003
688090.SH,688090,瑞松科技,20200306,71.63,68.0,73.94,68.0,67.21,4.42,0.0658,9098802.0,644477889.0,644477.889,64447.7889,644.477889,6.44477889,0.644477889
688090.SH,688090,瑞松科技,20200228,67.21,77.9,81.49,66.13,79.8,-12.59,-0.1578,12522575.0,944190280.0,944190.28,94419.028,944.19028,9.441902800000001,0.9441902800000002
688090.SH,688090,瑞松科技,20200221,79.8,91.0,105.8,79.6,27.55,52.25,1.8966,35595392.0,3257990409.0,3257990.409,325799.0409,3257.990409,32.57990409,3.257990409
