ts_code,code,name,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,1K_amount,10K_amount,1M_amount,100M_amount,1B_amount
601127.SH,601127,小康股份,20200320,8.35,9.53,9.69,8.05,9.53,-1.18,-0.1238,18919363.0,165423312.0,165423.312,16542.3312,165.423312,1.65423312,0.165423312
601127.SH,601127,小康股份,20200313,9.53,10.8,10.96,9.08,11.01,-1.48,-0.1344,27300079.0,278843974.0,278843.974,27884.397399999998,278.843974,2.78843974,0.278843974
601127.SH,601127,小康股份,20200306,11.01,10.2,11.24,10.0,10.04,0.97,0.0966,37486848.0,399462941.0,399462.941,39946.2941,399.462941,3.99462941,0.399462941
601127.SH,601127,小康股份,20200228,10.04,9.75,10.69,9.28,9.82,0.22,0.0224,33888093.0,340920489.0,340920.489,34092.0489,340.92048900000003,3.4092048900000003,0.34092048900000005
601127.SH,601127,小康股份,20200221,9.82,9.38,9.94,9.35,9.3,0.52,0.0559,17418113.0,167519749.0,167519.749,16751.9749,167.51974900000002,1.6751974900000002,0.16751974900000002
601127.SH,601127,小康股份,20200214,9.3,9.25,9.59,9.17,9.25,0.05,0.0054,9841934.0,92422373.0,92422.373,9242.2373,92.42237300000001,0.92422373,0.092422373
601127.SH,601127,小康股份,20200207,9.25,9.24,9.4,8.32,10.27,-1.02,-0.0993,18839412.0,165352884.0,165352.884,16535.288399999998,165.352884,1.6535288399999999,0.16535288399999998
601127.SH,601127,小康股份,20200123,10.27,11.31,11.39,10.08,11.35,-1.08,-0.0952,9158358.0,100544027.0,100544.027,10054.4027,100.544027,1.00544027,0.10054402700000001
601127.SH,601127,小康股份,20200117,11.35,11.55,11.73,11.35,11.52,-0.17,-0.0148,8696688.0,100464710.0,100464.71,10046.471000000001,100.46471000000001,1.0046471000000001,0.10046471000000001
601127.SH,601127,小康股份,20200110,11.52,11.47,11.73,11.37,11.5,0.02,0.0017,14580446.0,168281678.0,168281.678,16828.167800000003,168.28167800000003,1.6828167800000002,0.16828167800000002
601127.SH,601127,小康股份,20200103,11.5,11.5,11.54,11.32,11.54,-0.04,-0.0035,8748046.0,100086999.0,100086.999,10008.6999,100.08699899999999,1.00086999,0.100086999
601127.SH,601127,小康股份,20191227,11.54,11.67,11.81,11.53,11.74,-0.2,-0.017,12442323.0,144670241.0,144670.241,14467.0241,144.670241,1.44670241,0.144670241
601127.SH,601127,小康股份,20191220,11.74,12.63,13.52,11.63,12.63,-0.89,-0.0705,36890425.0,460571593.0,460571.593,46057.1593,460.571593,4.60571593,0.46057159299999995
601127.SH,601127,小康股份,20191213,12.63,12.69,12.85,12.4,12.65,-0.02,-0.0016,6056797.0,76232219.0,76232.219,7623.2219,76.232219,0.76232219,0.076232219
601127.SH,601127,小康股份,20191206,12.65,12.59,12.93,12.53,12.61,0.04,0.0032,5634929.0,71685618.0,71685.618,7168.5618,71.685618,0.7168561800000001,0.071685618
601127.SH,601127,小康股份,20191129,12.61,12.65,12.76,12.26,12.68,-0.07,-0.0055,5331458.0,67050063.0,67050.063,6705.006299999999,67.050063,0.6705006299999999,0.067050063
601127.SH,601127,小康股份,20191122,12.68,12.6,12.85,12.56,12.6,0.08,0.0063,6370273.0,81114467.0,81114.467,8111.4467,81.114467,0.81114467,0.081114467
601127.SH,601127,小康股份,20191115,12.6,12.64,12.66,12.1,12.65,-0.05,-0.004,4915178.0,61268313.0,61268.313,6126.8313,61.268313,0.61268313,0.061268313
601127.SH,601127,小康股份,20191108,12.65,12.75,12.92,12.5,12.76,-0.11,-0.0086,5951004.0,75486876.0,75486.876,7548.6876,75.486876,0.7548687599999999,0.075486876
601127.SH,601127,小康股份,20191101,12.76,12.86,13.03,12.43,12.88,-0.12,-0.0093,6056268.0,76882324.0,76882.324,7688.232399999999,76.88232399999998,0.7688232399999998,0.07688232399999997
601127.SH,601127,小康股份,20191025,12.88,12.64,12.98,12.5,12.63,0.25,0.0198,4907000.0,62822437.0,62822.437,6282.2437,62.822437,0.62822437,0.062822437
601127.SH,601127,小康股份,20191018,12.63,12.8,12.87,12.5,12.75,-0.12,-0.0094,5935823.0,75121754.0,75121.754,7512.1754,75.121754,0.75121754,0.075121754
601127.SH,601127,小康股份,20191011,12.75,12.8,12.88,12.57,12.8,-0.05,-0.0039,2403157.0,30581125.0,30581.125,3058.1125,30.581125,0.30581125,0.030581124999999997
