ts_code,code,name,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,1K_amount,10K_amount,1M_amount,100M_amount,1B_amount
002368.SZ,002368,太极股份,20200320,44.5,46.01,47.1,42.7,45.42,-0.92,-0.0203,72128600.0,3254837381.35,3254837.38135,325483.738135,3254.8373813499998,32.5483738135,3.25483738135
002368.SZ,002368,太极股份,20200313,45.42,46.65,47.41,41.73,47.55,-2.13,-0.0448,68526561.0,3095168815.2,3095168.8151999996,309516.88151999994,3095.1688151999992,30.951688151999992,3.095168815199999
002368.SZ,002368,太极股份,20200306,47.55,47.09,50.8,46.36,45.69,1.86,0.0407,65848955.0,3201915414.14,3201915.41414,320191.541414,3201.91541414,32.0191541414,3.20191541414
002368.SZ,002368,太极股份,20200228,45.69,51.7,53.6,45.64,50.95,-5.26,-0.1032,99143548.0,4945345345.54,4945345.34554,494534.534554,4945.34534554,49.4534534554,4.94534534554
002368.SZ,002368,太极股份,20200221,50.95,41.98,51.9,41.63,41.5,9.45,0.2277,105293971.0,5031564253.84,5031564.25384,503156.42538400006,5031.564253840001,50.315642538400006,5.031564253840001
002368.SZ,002368,太极股份,20200214,41.5,41.8,42.48,40.18,40.8,0.7,0.0172,71095083.0,2939472969.51,2939472.96951,293947.296951,2939.47296951,29.3947296951,2.93947296951
002368.SZ,002368,太极股份,20200207,40.8,37.49,40.8,36.78,41.66,-0.86,-0.0206,81360373.0,3148232259.49,3148232.2594899996,314823.225949,3148.2322594899997,31.482322594899998,3.14823225949
002368.SZ,002368,太极股份,20200123,41.66,42.72,45.21,40.79,42.57,-0.91,-0.0214,46015775.0,1981634944.76,1981634.94476,198163.49447600002,1981.6349447600003,19.816349447600004,1.9816349447600003
002368.SZ,002368,太极股份,20200117,42.57,40.29,43.88,39.45,40.5,2.07,0.0511,73565008.0,3053748575.59,3053748.57559,305374.857559,3053.74857559,30.5374857559,3.0537485755900002
002368.SZ,002368,太极股份,20200110,40.5,39.5,42.62,38.37,39.93,0.57,0.0143,74661376.0,3004446014.56,3004446.01456,300444.601456,3004.44601456,30.044460145600002,3.00444601456
002368.SZ,002368,太极股份,20200103,39.93,38.22,40.7,37.63,38.64,1.29,0.0334,34672839.0,1369577639.04,1369577.63904,136957.763904,1369.57763904,13.695776390399999,1.3695776390399999
002368.SZ,002368,太极股份,20191227,38.64,39.74,41.36,38.2,40.3,-1.66,-0.0412,46331993.0,1842000489.43,1842000.48943,184200.048943,1842.00048943,18.4200048943,1.84200048943
002368.SZ,002368,太极股份,20191220,40.3,38.2,43.68,38.01,38.23,2.07,0.0541,74066972.0,3073208386.44,3073208.38644,307320.838644,3073.20838644,30.7320838644,3.07320838644
002368.SZ,002368,太极股份,20191213,38.23,36.5,39.14,36.33,36.53,1.7,0.0465,57700325.0,2190709045.86,2190709.04586,219070.904586,2190.70904586,21.9070904586,2.19070904586
002368.SZ,002368,太极股份,20191206,36.53,34.35,36.65,33.71,34.17,2.36,0.0691,47875087.0,1695359623.42,1695359.62342,169535.962342,1695.3596234200002,16.953596234200003,1.6953596234200004
002368.SZ,002368,太极股份,20191129,34.17,34.88,35.37,33.17,34.89,-0.72,-0.0206,52599578.0,1798022564.61,1798022.56461,179802.256461,1798.02256461,17.9802256461,1.7980225646099999
002368.SZ,002368,太极股份,20191122,34.89,34.8,37.0,34.28,35.25,-0.36,-0.0102,68659439.0,2462099512.99,2462099.5129899997,246209.95129899998,2462.0995129899998,24.6209951299,2.46209951299
002368.SZ,002368,太极股份,20191115,35.25,34.7,36.2,32.64,34.09,1.16,0.034,75005224.0,2580379490.25,2580379.49025,258037.94902499998,2580.37949025,25.803794902499998,2.58037949025
002368.SZ,002368,太极股份,20191108,34.09,31.9,35.15,31.62,31.95,2.14,0.067,78082737.0,2615683550.29,2615683.55029,261568.35502900003,2615.6835502900003,26.1568355029,2.61568355029
002368.SZ,002368,太极股份,20191101,31.95,33.1,33.66,30.76,31.86,0.09,0.0028,78270561.0,2535158127.75,2535158.12775,253515.812775,2535.15812775,25.3515812775,2.53515812775
002368.SZ,002368,太极股份,20191025,31.86,29.89,32.55,27.91,30.15,1.71,0.0567,85121658.0,2632566229.29,2632566.22929,263256.622929,2632.56622929,26.325662292900002,2.63256622929
002368.SZ,002368,太极股份,20191018,30.15,29.73,30.8,28.72,29.22,0.93,0.0318,58840967.0,1757345239.53,1757345.23953,175734.523953,1757.34523953,17.573452395300002,1.7573452395300002
002368.SZ,002368,太极股份,20191011,29.22,29.67,30.13,28.77,29.54,-0.32,-0.0108,31525036.0,929717162.52,929717.16252,92971.716252,929.71716252,9.2971716252,0.92971716252
002368.SZ,002368,太极股份,20190930,29.54,30.48,30.58,29.54,30.48,-0.94,-0.0308,7630875.0,228819016.3,228819.01630000002,22881.90163,228.81901630000002,2.2881901630000003,0.22881901630000004
002368.SZ,002368,太极股份,20190927,30.48,32.4,33.32,30.0,32.65,-2.17,-0.0665,46602537.0,1479970231.18,1479970.2311800001,147997.023118,1479.9702311800002,14.7997023118,1.47997023118
002368.SZ,002368,太极股份,20190920,32.65,34.0,34.36,31.4,34.2,-1.55,-0.0453,54235817.0,1782386791.57,1782386.79157,178238.67915699998,1782.3867915699998,17.8238679157,1.78238679157
002368.SZ,002368,太极股份,20190912,34.2,34.99,36.71,33.53,34.12,0.08,0.0023,57395430.0,1985531101.19,1985531.10119,198553.11011900002,1985.5311011900003,19.855311011900003,1.9855311011900003
002368.SZ,002368,太极股份,20190906,34.12,31.3,35.6,31.15,31.35,2.77,0.0884,71148702.0,2379176958.1,2379176.9581,237917.69581,2379.1769581,23.791769580999997,2.3791769580999995
002368.SZ,002368,太极股份,20190830,31.35,29.89,32.88,29.8,30.34,1.01,0.0333,59397578.0,1861065973.77,1861065.97377,186106.597377,1861.06597377,18.6106597377,1.8610659737700002
002368.SZ,002368,太极股份,20190823,30.34,28.21,31.35,28.13,27.85,2.49,0.0894,55616984.0,1656762044.25,1656762.04425,165676.204425,1656.7620442500001,16.5676204425,1.6567620442500002
002368.SZ,002368,太极股份,20190816,27.85,25.87,28.27,25.38,25.8,2.05,0.0795,39473631.0,1059340006.08,1059340.00608,105934.000608,1059.34000608,10.5934000608,1.05934000608
002368.SZ,002368,太极股份,20190809,25.8,27.58,28.75,25.75,27.62,-1.82,-0.0659,29874109.0,812385776.9,812385.7768999999,81238.57768999999,812.3857768999999,8.123857768999999,0.8123857768999999
002368.SZ,002368,太极股份,20190802,27.62,27.35,28.12,26.95,27.35,0.27,0.0099,23189475.0,639919427.65,639919.42765,63991.942765,639.91942765,6.3991942765,0.63991942765
002368.SZ,002368,太极股份,20190726,27.35,26.93,27.86,25.88,26.95,0.4,0.0148,19907090.0,539166945.38,539166.94538,53916.694538,539.16694538,5.3916694538000005,0.5391669453800001
002368.SZ,002368,太极股份,20190719,26.95,26.9,28.2,26.44,26.91,0.04,0.0015,27267662.0,746565988.57,746565.98857,74656.598857,746.5659885700001,7.465659885700001,0.7465659885700001
002368.SZ,002368,太极股份,20190712,26.91,30.1,30.1,26.43,30.2,-3.29,-0.1089,35139877.0,970243601.09,970243.60109,97024.360109,970.24360109,9.7024360109,0.97024360109
002368.SZ,002368,太极股份,20190705,30.2,31.12,32.1,29.61,30.3,-0.1,-0.0033,31751178.0,983544130.69,983544.13069,98354.413069,983.54413069,9.8354413069,0.98354413069
002368.SZ,002368,太极股份,20190628,30.3,31.94,32.46,30.1,31.72,-1.42,-0.0448,26085459.0,807232590.17,807232.59017,80723.259017,807.2325901700001,8.072325901700001,0.8072325901700002
002368.SZ,002368,太极股份,20190621,31.72,29.89,31.95,29.2,30.04,1.68,0.0559,35646676.0,1081330145.08,1081330.14508,108133.014508,1081.33014508,10.8133014508,1.08133014508
