ts_code,code,name,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,1K_amount,10K_amount,1M_amount,100M_amount,1B_amount
300107.SZ,300107,建新股份,20200320,6.32,6.52,6.64,6.01,6.45,-0.13,-0.0202,38446356.0,241118493.04,241118.49304,24111.849304,241.11849304,2.4111849304,0.24111849304000002
300107.SZ,300107,建新股份,20200313,6.45,7.09,7.51,6.1,7.25,-0.8,-0.1103,105246748.0,736064689.62,736064.68962,73606.468962,736.06468962,7.3606468962,0.7360646896199999
300107.SZ,300107,建新股份,20200306,7.25,6.08,7.63,6.07,5.98,1.27,0.2124,138496609.0,1005615458.37,1005615.45837,100561.545837,1005.6154583699999,10.0561545837,1.0056154583699999
300107.SZ,300107,建新股份,20200228,5.98,6.65,6.69,5.97,6.69,-0.71,-0.1061,49717636.0,317781784.89,317781.78489,31778.178489,317.78178489000004,3.1778178489,0.31778178489000003
300107.SZ,300107,建新股份,20200221,6.69,6.21,6.77,6.17,6.16,0.53,0.086,48373534.0,317273892.66,317273.89266,31727.389266000002,317.27389266,3.1727389266,0.31727389266
300107.SZ,300107,建新股份,20200214,6.16,6.2,6.34,6.1,6.21,-0.05,-0.0081,29892841.0,185775387.43,185775.38743,18577.538743,185.77538743000002,1.8577538743000002,0.18577538743000002
300107.SZ,300107,建新股份,20200207,6.21,6.03,6.28,5.43,6.7,-0.49,-0.0731,40621787.0,241574458.39,241574.45838999999,24157.445839,241.57445839,2.4157445839,0.24157445839
300107.SZ,300107,建新股份,20200123,6.7,7.09,7.2,6.61,7.13,-0.43,-0.0603,20808971.0,145007853.03,145007.85303,14500.785303,145.00785303,1.4500785303000001,0.14500785303000002
300107.SZ,300107,建新股份,20200117,7.13,7.5,7.57,7.11,7.48,-0.35,-0.0468,39054014.0,288137067.34,288137.06733999995,28813.706733999996,288.13706733999993,2.8813706733999993,0.28813706733999994
300107.SZ,300107,建新股份,20200110,7.48,7.42,7.73,7.36,7.44,0.04,0.0054,42001328.0,317166136.48,317166.13648000004,31716.613648000006,317.16613648000003,3.1716613648000003,0.31716613648
