ts_code,code,name,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,1K_amount,10K_amount,1M_amount,100M_amount
688383.SH,688383,新益昌,20210428,48.15,71.0,48.0,65.5,19.58,45.92,234.525,172344.36,1082608.72,108260.872,1082.60872,10.8260872
688383.SH,688383,新益昌,20210429,67.0,80.05,67.0,77.68,65.5,12.18,18.5954,84147.78,610580.657,61058.0657,610.580657,6.10580657
688383.SH,688383,新益昌,20210430,76.6,83.99,76.21,82.4,77.68,4.72,6.0762,48249.73,390328.991,39032.8991,390.328991,3.90328991
688383.SH,688383,新益昌,20210506,81.89,90.22,80.1,82.25,82.4,-0.15,-0.182,53199.63,447155.517,44715.5517,447.155517,4.471555169999999
688383.SH,688383,新益昌,20210507,84.0,85.5,75.29,81.15,82.25,-1.1,-1.3374,48292.58,387367.339,38736.7339,387.367339,3.87367339
688383.SH,688383,新益昌,20210510,80.0,87.77,78.5,84.1,81.15,2.95,3.6352,41217.0,344042.208,34404.2208,344.042208,3.4404220799999994
688383.SH,688383,新益昌,20210511,83.5,85.45,79.1,83.53,84.1,-0.57,-0.6778,33061.86,273424.766,27342.4766,273.42476600000003,2.7342476600000003
688383.SH,688383,新益昌,20210512,84.7,85.37,76.51,79.61,83.53,-3.92,-4.6929,35454.98,282058.47,28205.847,282.05847,2.8205847
688383.SH,688383,新益昌,20210513,77.1,81.3,73.53,75.32,79.61,-4.29,-5.3888,28763.18,220156.576,22015.6576,220.156576,2.20156576
688383.SH,688383,新益昌,20210514,76.63,90.38,76.63,90.38,75.32,15.06,19.9947,37567.64,319420.963,31942.0963,319.420963,3.19420963
688383.SH,688383,新益昌,20210517,91.0,97.18,87.0,95.0,90.38,4.62,5.1118,53211.58,492802.825,49280.2825,492.802825,4.92802825
688383.SH,688383,新益昌,20210518,94.45,98.98,90.58,96.01,95.0,1.01,1.0632,31404.75,296682.205,29668.220500000003,296.682205,2.96682205
688383.SH,688383,新益昌,20210519,94.0,98.8,93.0,97.98,96.01,1.97,2.0519,16351.56,157392.066,15739.2066,157.392066,1.57392066
688383.SH,688383,新益昌,20210520,97.0,103.66,95.62,97.62,97.98,-0.36,-0.3674,19455.11,193855.497,19385.5497,193.855497,1.93855497
688383.SH,688383,新益昌,20210521,95.8,101.0,93.4,100.06,97.62,2.44,2.4995,16483.7,161699.162,16169.9162,161.699162,1.61699162
688383.SH,688383,新益昌,20210524,98.91,101.08,94.0,99.0,100.06,-1.06,-1.0594,15558.2,151525.739,15152.5739,151.525739,1.51525739
688383.SH,688383,新益昌,20210525,98.04,107.76,97.19,102.5,99.0,3.5,3.5354,25021.98,256435.765,25643.576500000003,256.435765,2.56435765
688383.SH,688383,新益昌,20210526,102.11,108.91,101.0,108.91,102.5,6.41,6.2537,15940.44,168081.281,16808.128099999998,168.081281,1.68081281
688383.SH,688383,新益昌,20210527,108.0,119.45,107.83,114.44,108.91,5.53,5.0776,15483.28,175591.893,17559.189300000002,175.59189300000003,1.7559189300000002
688383.SH,688383,新益昌,20210528,114.99,118.99,109.8,115.65,114.44,1.21,1.0573,14411.2,163141.125,16314.1125,163.141125,1.63141125
688383.SH,688383,新益昌,20210531,115.5,123.51,112.05,121.01,115.65,5.36,4.6347,16862.56,196808.027,19680.8027,196.808027,1.96808027
688383.SH,688383,新益昌,20210601,120.94,121.01,109.88,116.0,121.01,-5.01,-4.1402,26084.08,301527.637,30152.7637,301.527637,3.01527637
688383.SH,688383,新益昌,20210602,113.77,114.89,104.0,108.2,116.0,-7.8,-6.7241,29515.45,321970.09,32197.009,321.97009,3.2197009000000003
688383.SH,688383,新益昌,20210603,106.88,109.3,103.1,106.7,108.2,-1.5,-1.3863,23169.97,246647.255,24664.7255,246.647255,2.46647255
688383.SH,688383,新益昌,20210604,106.0,108.88,100.0,104.6,106.7,-2.1,-1.9681,27261.58,285284.021,28528.4021,285.284021,2.85284021
688383.SH,688383,新益昌,20210607,105.27,112.0,105.27,108.0,104.6,3.4,3.2505,18315.02,199646.574,19964.6574,199.646574,1.99646574
688383.SH,688383,新益昌,20210608,108.0,109.99,100.0,101.5,108.0,-6.5,-6.0185,18889.38,196752.545,19675.254500000003,196.75254500000003,1.9675254500000003
688383.SH,688383,新益昌,20210609,99.0,104.15,97.5,101.72,101.5,0.22,0.2167,17519.26,176602.393,17660.2393,176.602393,1.76602393
688383.SH,688383,新益昌,20210610,102.0,105.76,98.6,103.22,101.72,1.5,1.4746,16087.8,164283.86,16428.386,164.28385999999998,1.6428385999999997
688383.SH,688383,新益昌,20210611,104.77,105.83,98.0,102.34,103.22,-0.88,-0.8525,14734.03,149628.185,14962.8185,149.628185,1.49628185
688383.SH,688383,新益昌,20210615,104.4,104.76,95.08,101.34,102.34,-1.0,-0.9771,14276.02,141645.976,14164.5976,141.645976,1.41645976
688383.SH,688383,新益昌,20210616,100.45,111.0,99.88,103.01,101.34,1.67,1.6479,18270.95,193923.323,19392.3323,193.923323,1.93923323
688383.SH,688383,新益昌,20210617,103.78,122.99,100.95,118.0,103.01,14.99,14.552,21196.52,236712.049,23671.2049,236.712049,2.36712049
688383.SH,688383,新益昌,20210618,116.39,121.8,115.32,118.87,118.0,0.87,0.7373,15269.66,180667.729,18066.7729,180.667729,1.80667729
688383.SH,688383,新益昌,20210621,117.0,121.8,112.0,115.2,118.87,-3.67,-3.0874,16580.1,191620.467,19162.0467,191.620467,1.91620467
688383.SH,688383,新益昌,20210622,115.51,117.99,107.27,112.57,115.2,-2.63,-2.283,15384.75,171822.556,17182.2556,171.822556,1.7182255599999998
688383.SH,688383,新益昌,20210623,112.01,121.55,110.51,118.35,112.57,5.78,5.1346,16151.44,189329.607,18932.9607,189.329607,1.89329607
688383.SH,688383,新益昌,20210624,116.87,117.44,111.86,115.99,118.35,-2.36,-1.9941,13038.47,149748.885,14974.8885,149.748885,1.49748885
688383.SH,688383,新益昌,20210625,114.0,116.8,110.94,112.01,115.99,-3.98,-3.4313,8893.87,101270.105,10127.0105,101.270105,1.01270105
688383.SH,688383,新益昌,20210628,112.0,125.0,111.58,122.5,112.01,10.49,9.3652,14015.18,165601.179,16560.1179,165.601179,1.65601179
688383.SH,688383,新益昌,20210629,122.81,142.68,117.3,140.46,122.5,17.96,14.6612,21199.2,266610.676,26661.0676,266.610676,2.66610676
688383.SH,688383,新益昌,20210630,141.89,144.9,135.15,141.01,140.46,0.55,0.3916,10646.57,148907.833,14890.7833,148.907833,1.48907833
688383.SH,688383,新益昌,20210701,141.1,142.2,131.95,133.27,141.01,-7.74,-5.489,11184.3,152386.297,15238.6297,152.38629699999998,1.52386297
688383.SH,688383,新益昌,20210702,131.21,139.55,130.1,133.05,133.27,-0.22,-0.1651,10819.74,145798.049,14579.8049,145.798049,1.45798049
688383.SH,688383,新益昌,20210705,135.71,139.0,131.11,134.05,133.05,1.0,0.7516,9390.0,126859.107,12685.9107,126.859107,1.26859107
688383.SH,688383,新益昌,20210706,135.0,138.27,120.0,124.38,134.05,-9.67,-7.2137,16556.42,212079.383,21207.9383,212.079383,2.12079383
688383.SH,688383,新益昌,20210707,119.9,130.85,119.2,126.66,124.38,2.28,1.8331,15435.05,195443.621,19544.3621,195.443621,1.95443621
688383.SH,688383,新益昌,20210708,127.5,128.89,122.86,127.68,126.66,1.02,0.8053,11067.27,139179.79,13917.979,139.17979000000005,1.3917979000000005
688383.SH,688383,新益昌,20210709,125.53,130.0,121.93,127.5,127.68,-0.18,-0.141,8797.71,110873.1,11087.31,110.8731,1.108731
688383.SH,688383,新益昌,20210712,129.89,133.0,122.63,129.24,127.5,1.74,1.3647,13297.95,169655.208,16965.520800000002,169.65520800000002,1.6965520800000002
688383.SH,688383,新益昌,20210713,128.63,134.8,128.63,132.0,129.24,2.76,2.1356,10973.95,144701.459,14470.1459,144.701459,1.44701459
688383.SH,688383,新益昌,20210714,134.95,137.9,123.54,125.8,132.0,-6.2,-4.697,13523.64,174796.548,17479.6548,174.796548,1.74796548
688383.SH,688383,新益昌,20210715,125.0,127.66,112.57,117.01,125.8,-8.79,-6.9873,16883.72,200226.88,20022.688,200.22688,2.0022688000000004
688383.SH,688383,新益昌,20210716,117.5,121.45,115.12,118.0,117.01,0.99,0.8461,9281.87,109954.411,10995.4411,109.954411,1.09954411
688383.SH,688383,新益昌,20210719,118.0,120.59,113.1,113.1,118.0,-4.9,-4.1525,7780.94,90457.885,9045.7885,90.457885,0.90457885
688383.SH,688383,新益昌,20210720,112.0,121.27,111.06,118.0,113.1,4.9,4.3324,12991.31,150168.279,15016.8279,150.168279,1.50168279
688383.SH,688383,新益昌,20210721,126.0,141.6,125.1,141.6,118.0,23.6,20.0,15340.38,208750.05,20875.005,208.75005,2.0875005
688383.SH,688383,新益昌,20210722,149.51,161.0,148.88,156.1,141.6,14.5,10.2401,31327.19,481309.764,48130.9764,481.309764,4.81309764
688383.SH,688383,新益昌,20210723,157.32,159.32,149.5,154.21,156.1,-1.89,-1.2108,19945.08,306995.012,30699.5012,306.995012,3.06995012
688383.SH,688383,新益昌,20210726,164.0,167.66,156.16,161.62,154.21,7.41,4.8051,23242.19,375818.401,37581.8401,375.818401,3.75818401
688383.SH,688383,新益昌,20210727,165.99,175.5,157.01,158.19,161.62,-3.43,-2.1223,25419.22,420263.311,42026.3311,420.26331099999993,4.202633109999999
688383.SH,688383,新益昌,20210728,158.11,189.83,155.55,176.86,158.19,18.67,11.8023,26853.98,468701.158,46870.1158,468.701158,4.68701158
688383.SH,688383,新益昌,20210729,177.0,202.2,173.12,186.7,176.86,9.84,5.5637,31761.41,592246.58,59224.658,592.24658,5.9224658
688383.SH,688383,新益昌,20210730,189.28,189.28,170.27,172.08,186.7,-14.62,-7.8307,30142.75,538239.631,53823.96310000001,538.239631,5.382396310000001
688383.SH,688383,新益昌,20210802,173.59,179.99,168.69,172.2,172.08,0.12,0.0697,15340.8,266881.168,26688.1168,266.881168,2.66881168
688383.SH,688383,新益昌,20210803,174.58,174.58,156.0,156.9,172.2,-15.3,-8.885,26207.62,424685.634,42468.5634,424.685634,4.24685634
688383.SH,688383,新益昌,20210804,153.52,169.99,153.52,166.66,156.9,9.76,6.2205,22211.7,365430.58,36543.058000000005,365.43058,3.6543058
688383.SH,688383,新益昌,20210805,164.1,166.66,159.18,162.58,166.66,-4.08,-2.4481,9803.59,158989.116,15898.9116,158.98911600000002,1.5898911600000003
688383.SH,688383,新益昌,20210806,164.83,166.66,159.12,161.6,162.58,-0.98,-0.6028,10800.63,174494.109,17449.4109,174.49410899999998,1.7449410899999998
688383.SH,688383,新益昌,20210809,160.24,161.6,151.0,152.97,161.6,-8.63,-5.3403,17010.48,261564.343,26156.4343,261.564343,2.61564343
688383.SH,688383,新益昌,20210810,152.98,163.66,150.0,156.4,152.97,3.43,2.2423,17370.1,273366.56,27336.656,273.36656,2.7336656
688383.SH,688383,新益昌,20210811,157.0,161.53,150.5,161.25,156.4,4.85,3.101,11256.72,176877.145,17687.7145,176.87714499999998,1.7687714499999998
688383.SH,688383,新益昌,20210812,160.24,168.48,156.69,167.29,161.25,6.04,3.7457,17904.25,293240.069,29324.0069,293.240069,2.93240069
688383.SH,688383,新益昌,20210813,166.0,179.0,159.0,160.0,167.29,-7.29,-4.3577,16397.84,277502.2,27750.22,277.5022,2.7750220000000003
688383.SH,688383,新益昌,20210816,160.0,160.0,139.41,143.7,160.0,-16.3,-10.1875,25477.28,369004.293,36900.4293,369.004293,3.69004293
688383.SH,688383,新益昌,20210817,143.86,151.95,142.18,144.26,143.7,0.56,0.3897,14022.96,206372.795,20637.2795,206.372795,2.06372795
688383.SH,688383,新益昌,20210818,146.95,151.88,143.3,148.5,144.26,4.24,2.9391,11879.65,175387.688,17538.768799999998,175.38768799999997,1.7538768799999995
688383.SH,688383,新益昌,20210819,146.01,163.99,145.0,161.5,148.5,13.0,8.7542,14150.5,221815.801,22181.5801,221.815801,2.21815801
688383.SH,688383,新益昌,20210820,163.0,169.99,158.67,161.42,161.5,-0.08,-0.0495,9785.07,160090.59,16009.059,160.09059,1.6009059
688383.SH,688383,新益昌,20210823,161.6,171.95,160.0,170.87,161.42,9.45,5.8543,12748.46,212984.164,21298.4164,212.984164,2.12984164
688383.SH,688383,新益昌,20210824,170.0,170.5,160.06,166.0,170.87,-4.87,-2.8501,9013.14,147924.392,14792.4392,147.92439199999998,1.4792439199999998
688383.SH,688383,新益昌,20210825,162.98,169.99,160.15,166.88,166.0,0.88,0.5301,7196.49,118531.085,11853.1085,118.531085,1.18531085
688383.SH,688383,新益昌,20210826,168.0,173.9,161.0,161.98,166.88,-4.9,-2.9362,8900.14,148134.956,14813.4956,148.134956,1.48134956
688383.SH,688383,新益昌,20210827,161.0,163.96,158.18,160.42,161.98,-1.56,-0.9631,5741.16,92608.065,9260.8065,92.608065,0.92608065
688383.SH,688383,新益昌,20210830,163.98,168.0,153.88,156.5,160.42,-3.92,-2.4436,7826.05,126668.128,12666.8128,126.668128,1.26668128
688383.SH,688383,新益昌,20210831,154.92,158.88,149.0,152.95,156.5,-3.55,-2.2684,6472.16,99149.941,9914.9941,99.149941,0.99149941
688383.SH,688383,新益昌,20210901,156.53,156.54,145.0,151.07,152.95,-1.88,-1.2292,7876.04,118061.242,11806.1242,118.061242,1.18061242
688383.SH,688383,新益昌,20210902,148.98,152.93,145.01,146.7,151.07,-4.37,-2.8927,7375.06,108705.898,10870.5898,108.705898,1.08705898
688383.SH,688383,新益昌,20210903,146.43,153.15,145.0,146.61,146.7,-0.09,-0.0613,6419.36,95289.695,9528.9695,95.289695,0.95289695
688383.SH,688383,新益昌,20210906,146.6,156.3,144.0,153.0,146.61,6.39,4.3585,9622.27,144658.739,14465.8739,144.658739,1.44658739
688383.SH,688383,新益昌,20210907,152.77,154.9,145.88,146.63,153.0,-6.37,-4.1634,7950.13,118501.977,11850.1977,118.501977,1.18501977
688383.SH,688383,新益昌,20210908,146.63,149.87,144.07,145.89,146.63,-0.74,-0.5047,6999.28,102279.64,10227.964,102.27964,1.0227964
688383.SH,688383,新益昌,20210909,148.2,148.3,135.05,136.89,145.89,-9.0,-6.169,10208.68,142371.276,14237.127600000002,142.37127600000002,1.42371276
688383.SH,688383,新益昌,20210910,135.85,142.87,135.18,139.63,136.89,2.74,2.0016,11748.69,163862.085,16386.2085,163.862085,1.63862085
688383.SH,688383,新益昌,20210913,138.58,139.25,123.0,128.08,139.63,-11.55,-8.2719,16795.93,214901.251,21490.1251,214.901251,2.14901251
688383.SH,688383,新益昌,20210914,127.18,133.38,127.0,132.0,128.08,3.92,3.0606,8643.12,113644.013,11364.4013,113.64401300000002,1.1364401300000002
688383.SH,688383,新益昌,20210915,130.14,133.0,126.69,127.86,132.0,-4.14,-3.1364,5875.36,75570.976,7557.097599999999,75.57097599999999,0.7557097599999999
688383.SH,688383,新益昌,20210916,129.79,129.79,122.43,124.0,127.86,-3.86,-3.0189,6264.0,78443.449,7844.344899999999,78.44344899999999,0.7844344899999999
688383.SH,688383,新益昌,20210917,124.3,127.0,118.3,121.44,124.0,-2.56,-2.0645,6920.66,83996.321,8399.632099999999,83.996321,0.83996321
688383.SH,688383,新益昌,20210922,121.33,130.99,120.39,129.5,121.44,8.06,6.637,8463.85,107601.466,10760.1466,107.601466,1.07601466
688383.SH,688383,新益昌,20210923,129.54,132.96,122.02,130.7,129.5,1.2,0.9266,9010.93,114795.357,11479.5357,114.795357,1.14795357
688383.SH,688383,新益昌,20210924,130.3,138.78,128.01,135.5,130.7,4.8,3.6725,8912.65,120793.347,12079.3347,120.793347,1.20793347
688383.SH,688383,新益昌,20210927,135.8,137.3,130.98,134.0,135.5,-1.5,-1.107,6151.01,82674.568,8267.4568,82.674568,0.8267456799999999
688383.SH,688383,新益昌,20210928,131.6,136.0,126.66,128.5,134.0,-5.5,-4.1045,7303.03,94559.93,9455.993,94.55992999999998,0.9455992999999998
688383.SH,688383,新益昌,20210929,128.21,137.12,124.98,133.08,128.5,4.58,3.5642,8832.55,118047.347,11804.7347,118.047347,1.18047347
688383.SH,688383,新益昌,20210930,132.5,144.0,132.5,141.0,133.08,7.92,5.9513,7699.36,107945.617,10794.5617,107.945617,1.07945617
688383.SH,688383,新益昌,20211008,141.88,143.0,132.62,132.91,141.0,-8.09,-5.7376,6417.32,87381.564,8738.1564,87.381564,0.87381564
688383.SH,688383,新益昌,20211011,130.99,134.9,128.08,131.0,132.91,-1.91,-1.4371,6814.95,89025.007,8902.5007,89.025007,0.89025007
688383.SH,688383,新益昌,20211012,132.7,132.7,125.13,128.96,131.0,-2.04,-1.5573,6954.3,89368.452,8936.8452,89.36845199999999,0.8936845199999999
688383.SH,688383,新益昌,20211013,128.8,139.6,128.68,138.0,128.96,9.04,7.0099,5585.64,75102.621,7510.2621,75.102621,0.75102621
688383.SH,688383,新益昌,20211014,138.0,139.9,132.05,136.99,138.0,-1.01,-0.7319,7138.38,96583.773,9658.3773,96.583773,0.96583773
688383.SH,688383,新益昌,20211015,135.99,138.0,133.2,136.0,136.99,-0.99,-0.7227,9784.05,132552.276,13255.227600000002,132.552276,1.32552276
688383.SH,688383,新益昌,20211018,135.5,139.39,133.0,136.0,136.0,0.0,0.0,5937.79,80310.11,8031.011,80.31011000000001,0.8031011000000001
688383.SH,688383,新益昌,20211019,122.5,131.0,118.5,119.91,136.0,-16.09,-11.8309,26338.94,323293.681,32329.3681,323.293681,3.23293681
688383.SH,688383,新益昌,20211020,120.19,120.32,116.0,116.77,119.91,-3.14,-2.6186,9676.67,114305.306,11430.5306,114.305306,1.14305306
688383.SH,688383,新益昌,20211021,117.35,118.78,114.0,114.72,116.77,-2.05,-1.7556,8092.71,93438.697,9343.8697,93.438697,0.93438697
688383.SH,688383,新益昌,20211022,116.0,117.48,113.8,114.0,114.72,-0.72,-0.6276,6282.72,72408.176,7240.8176,72.408176,0.72408176
688383.SH,688383,新益昌,20211025,114.0,116.75,111.8,115.58,114.0,1.58,1.386,8802.97,100470.504,10047.0504,100.470504,1.0047050400000002
688383.SH,688383,新益昌,20211026,115.5,121.5,115.49,117.02,115.58,1.44,1.2459,8351.29,98696.074,9869.6074,98.696074,0.98696074
688383.SH,688383,新益昌,20211027,117.04,117.52,112.15,112.97,117.02,-4.05,-3.4609,6245.04,71264.77,7126.477000000001,71.26477000000001,0.7126477000000001
688383.SH,688383,新益昌,20211028,112.55,115.79,107.57,108.5,112.97,-4.47,-3.9568,10428.5,116543.126,11654.3126,116.54312600000002,1.16543126
688383.SH,688383,新益昌,20211029,108.35,114.55,107.8,113.69,108.5,5.19,4.7834,7797.22,87716.686,8771.6686,87.71668600000001,0.8771668600000001
688383.SH,688383,新益昌,20211101,113.56,121.28,112.11,120.06,113.69,6.37,5.603,14326.71,168959.757,16895.975700000003,168.95975700000002,1.6895975700000003
688383.SH,688383,新益昌,20211102,119.43,123.34,117.36,121.55,120.06,1.49,1.241,10274.61,124728.62,12472.862,124.72862,1.2472862
688383.SH,688383,新益昌,20211103,121.0,124.5,119.2,123.49,121.55,1.94,1.5961,7120.0,86899.469,8689.946899999999,86.899469,0.86899469
